"metabolite","VIP","log2FC","p_value","neg_log10_p","vip_norm","fc_norm","p_norm","combined_score"
"L-Saccharopine",1.01980535257606,-0.1113,0.795108569606086,0.0995735657315732,0.590050091183627,0.0169962586851951,0.0181849004724927,0.625231250341315
"Ribostamycin",1.0077628058192,-0.068802,0.764250729394267,0.116764138114789,0.583082383283273,0.0105065282125678,0.0213243767537447,0.614913288249585
"Purine",0.604701704719419,-1.4161,0.602380759153061,0.220128908532298,0.349874900251592,0.216247995724212,0.0402016565678635,0.606324552543668
"Baccatin I",0.668755071915589,-0.69079,0.303777168112017,0.517444870814204,0.386935595274665,0.105488279758723,0.0944998143495676,0.586923689382956
"L-Cystine",0.910834237452461,-0.07995,0.559336772763293,0.252326627689091,0.527000396207385,0.0122089028021684,0.0460818549318143,0.585291153941368
"Ethionamide",0.744239894699405,-0.12207,0.342077690622442,0.46587524839752,0.430610426411864,0.0186409101320913,0.0850817680622679,0.534333104606223
"TRH",0.849923375126633,-0.046643,0.746636356149523,0.126890866685766,0.491757925888278,0.00712269985492861,0.0231737988350188,0.522054424578226
"2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid",0.696721878346878,-0.35385,0.457985625066951,0.339148153114198,0.403116934824623,0.0540352752538749,0.0619378784369055,0.519090088515403
"10-Deacetyl-7-xylosylpaclitaxel",0.822938985218232,-0.071083,0.693641256410515,0.158865083786499,0.476145003593091,0.0108548522562419,0.029013179511916,0.516013035361248
"Morin",0.885137885702556,-0.0052283,0.971357930692059,0.0126207096584692,0.512132721062498,0.000798396579369321,0.00230489234110772,0.515236009982975
"Microcolin B",0.693702604054094,0.025787,0.288659308426314,0.539614433200855,0.401370010210758,0.00393784836222036,0.0985485925826054,0.503856451155584
"102FTA",0.831131491599712,-0.01584,0.882462596892695,0.0543036930872824,0.480885113188715,0.00241887455142399,0.00991736357762968,0.493221351317769
"Scutellarein-7-glucuronide",0.683496123441093,-0.11968,0.541240688498908,0.266609562173595,0.395464633462978,0.0182759410552035,0.0486903157230652,0.462430890241246
"Apigenin",0.724065619841449,0.050688,0.921773237998212,0.0353759049752434,0.4189377746755,0.00774039856455677,0.00646062342322223,0.433138796663279
"Naringenin-7-O-neohesperidoside",0.65768565250907,-0.070766,0.647550865368504,0.188726111908907,0.380530929998426,0.0108064442238681,0.0344666331511694,0.425804007373464
"Sorbitol 6-phosphate",0.681954591802114,-0.013971,0.873150416998394,0.0589109342494191,0.394572717293049,0.00213346567916317,0.0107587738592709,0.407464956831483
"Daunorubicin",0.549837605872989,0.12259,0.419830017393887,0.376926513055973,0.318131032222983,0.0187203176299916,0.0688372569065604,0.405688606759535
"Taxinine M",0.511636185706661,-0.082104,0.487832206846849,0.311729530807581,0.296028038357,0.0125378330915477,0.0569304759794819,0.365496347428029
"13-Methylberberine",0.442598730315205,-0.23074,0.635491858100392,0.196890009240143,0.256083595286648,0.035235550125983,0.0359575876966398,0.327276733109271
"2',4,5'-Trihydroxychalcone",0.449359741520185,-0.072049,0.627982641798172,0.202052360523084,0.2599954548076,0.0110023669542643,0.0369003765140795,0.307898198275943
"Ginsenoside Ro",0.404886284541382,-0.069217,0.553640796215831,0.256771915446849,0.234263517551821,0.0105699015041613,0.0468936880207723,0.291727107076755
"Isoliquiritin apioside",0.386741819401079,-0.061767,0.624355968733141,0.204567732147894,0.2237652952357,0.00943223639001298,0.0373597532805178,0.270557284906231
"1,2-Disinapoyl diglucoside",0.363631264689547,-0.068755,0.59461943845824,0.225760897557651,0.210393738712293,0.0104993509964114,0.0412302142893405,0.262123303998045
"Geyerline",0.0789525318050033,1.3777,0.979196169992233,0.00913029388569927,0.0456812160017037,0.210384057417729,0.00166744541461573,0.257732718834049
"Pelargonidin 3-O-rutinoside",0.0523703816063343,1.3701,0.969279034512076,0.0135511809428624,0.0303010259399813,0.209223486294571,0.00247482225749553,0.241999334492048
"Glycyrrhizate",0.268286994295741,-0.054621,0.700771910167129,0.154423314807882,0.15522841201775,0.00834099412079102,0.0282019890498237,0.191771395188365
"nPFOA",0.256741038380229,-0.036885,0.84014849372273,0.0756439469085517,0.148548027056502,0.00563258761548446,0.0138146870183073,0.167995301690294
"Herbacetin 8-O-xylose-3-O-glucose",0.20219245313072,-0.0089302,0.996171964733883,0.00166568478060795,0.116986712322168,0.00136370161105597,0.000304200334007892,0.118654614267232
