category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,1/22,157/9399,0.006369426751592357,2.721192819918935,1.0534003846078717,0.30996150330933314,0.38175321690533437,0.3317561615701192,246,1,all_25,Eferositoz
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,1/22,157/9399,0.006369426751592357,2.721192819918935,1.0534003846078717,0.30996150330933314,0.38175321690533437,0.3317561615701192,54822,1,all_25,Hücresel yaşlanma
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,1/22,157/9399,0.006369426751592357,2.721192819918935,1.0534003846078717,0.30996150330933314,0.38175321690533437,0.3317561615701192,1571,1,all_25,Alkol dışı yağlı karaciğer hastalığı
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,2/22,480/9399,0.004166666666666667,1.7801136363636365,0.8498015304536083,0.31072936259736517,0.38175321690533437,0.3317561615701192,2902/6531,2,all_25,
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,1/22,181/9399,0.0055248618784530384,2.3603716725263686,0.8951083700587367,0.3483696770048462,0.4219689045410813,0.3667049231629961,50617,1,all_25,
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,1/22,187/9399,0.0053475935828877,2.284637822070977,0.8594520378074729,0.35764790176144645,0.4271905493261721,0.37124270504477636,54822,1,all_25,
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,1/22,212/9399,0.0047169811320754715,2.015222984562607,0.7241684778833032,0.39496739202585063,0.4653040508797692,0.404364597459775,2902,1,all_25,
NA,NA,hsa04382,Cornified envelope formation,1/22,217/9399,0.004608294930875576,1.968789275240888,0.6993388384427509,0.4021786638374445,0.46739682554081385,0.40618328780168655,59344,1,all_25,Kornifiye zarf oluşumu
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,1/22,226/9399,0.004424778761061947,1.8903861625100562,0.6562571189466614,0.41495269120511225,0.47113949784084075,0.4094357937172545,2902,1,all_25,
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,1/22,227/9399,0.004405286343612335,1.8820584701641971,0.6515914591029851,0.4163558353012081,0.47113949784084075,0.4094357937172545,1571,1,all_25,Kimyasal karsinogenez - reaktif oksijen türleri
