ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
CC,GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",1/18,10/19960,0.1,110.88888888888889,10.442479174480669,0.008983545022636097,0.0628328306637371,0.03226332768356204,ATP6V0A4,1,Rpost_18,"Vakuolar proton taşıyan V-tipi ATPaz, V0 domaini"
CC,GO:0005774,vacuolar membrane,3/18,491/19960,0.006109979633401222,6.775288526816022,3.8928161661805074,0.0091691117972223235,0.0628328306637371,0.03226332768356204,ATP6V0A4/PLA2G4E/TPCN1,3,Rpost_18,Vakuolar membran
CC,GO:1902495,transmembrane transporter complex,3/18,499/19960,0.006012024048096192,6.666666666666667,3.8513824654566475,0.009582257707295927,0.0628328306637371,0.03226332768356204,ATP6V0A4/GRIN1/TPCN1,3,Rpost_18,Transmembran taşıyıcı kompleksi
CC,GO:0033179,"proton-transporting V-type ATPase, V0 domain",1/18,12/19960,0.08333333333333333,92.4074074074074,9.515763069774668,0.01077108342183819,0.0628328306637371,0.03226332768356204,ATP6V0A4,1,Rpost_18,"Proton taşıyan V-tipi ATPaz, V0 domaini"
CC,GO:0043197,dendritic spine,2/18,180/19960,0.011111111111111112,12.320987654320989,4.583832203399811,0.01125385732221462,0.0628328306637371,0.03226332768356204,GRIN1/SLC1A1,2,Rpost_18,Dendritik diken
CC,GO:0044309,neuron spine,2/18,182/19960,0.01098901098901099,12.185592185592187,4.554332925975741,0.01149381048726898,0.0628328306637371,0.03226332768356204,GRIN1/SLC1A1,2,Rpost_18,Nöron dikeni
CC,GO:0098691,dopaminergic synapse,1/18,15/19960,0.06666666666666667,73.92592592592592,8.48851747110223,0.013446682349880001,0.06891424704313501,0.03538600618389474,SLC6A3,1,Rpost_18,
CC,GO:0055037,recycling endosome,2/18,210/19960,0.009523809523809525,10.560846560846562,4.1845015344338625,0.015087511441109851,0.06936569651246688,0.035617815924244865,SLC1A1/TPCN1,2,Rpost_18,Geri dönüşüm endozomu
CC,GO:0097440,apical dendrite,1/18,17/19960,0.058823529411764705,65.22875816993464,7.9593944327941335,0.015226616307614682,0.06936569651246688,0.035617815924244865,SLC1A1,1,Rpost_18,Apikal dendrit
CC,GO:0005741,mitochondrial outer membrane,2/18,223/19960,0.008968609865470852,9.9451918285999,4.035736521952155,0.01690097090075703,0.07294103230853034,0.03745367512633136,CYB5A/SLC44A1,2,Rpost_18,Mitokondriyal dış membran
CC,GO:0008021,synaptic vesicle,2/18,233/19960,0.008583690987124463,9.518359561278016,3.9293859836456293,0.018356601538206622,0.07332123464485411,0.03764890097296745,ATP6V0A4/GRIN1,2,Rpost_18,Sinaptik vezikül
CC,GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain",1/18,21/19960,0.047619047619047616,52.8042328042328,7.135829961376739,0.018777389360267516,0.07332123464485411,0.03764890097296745,ATP6V0A4,1,Rpost_18,
CC,GO:0031968,organelle outer membrane,2/18,252/19960,0.007936507936507936,8.800705467372133,3.743985514146549,0.02126397319435393,0.07373374611352475,0.03786071687472387,CYB5A/SLC44A1,2,Rpost_18,Organel dış membranı
CC,GO:0070382,exocytic vesicle,2/18,253/19960,0.007905138339920948,8.765920070267896,3.734772946722306,0.02142204170057321,0.07373374611352475,0.03786071687472387,ATP6V0A4/GRIN1,2,Rpost_18,Ekzositik vezikül
CC,GO:0019867,outer membrane,2/18,254/19960,0.007874015748031496,8.731408573928258,3.725611190094596,0.02158060861859261,0.07373374611352475,0.03786071687472387,CYB5A/SLC44A1,2,Rpost_18,Dış membran
CC,GO:0016471,vacuolar proton-transporting V-type ATPase complex,1/18,26/19960,0.038461538461538464,42.649572649572654,6.38441754387798,0.023198852917487356,0.07581101703204304,0.03892735149270502,ATP6V0A4,1,Rpost_18,Vakuolar proton taşıyan V-tipi ATPaz kompleksi
CC,GO:0033176,proton-transporting V-type ATPase complex,1/18,28/19960,0.03571428571428571,39.6031746031746,6.141124234871421,0.024962164144697097,0.07581101703204304,0.03892735149270502,ATP6V0A4,1,Rpost_18,Proton taşıyan V-tipi ATPaz kompleksi
CC,GO:0036019,endolysosome,1/18,28/19960,0.03571428571428571,39.6031746031746,6.141124234871421,0.024962164144697097,0.07581101703204304,0.03892735149270502,TPCN1,1,Rpost_18,Endolizozom
CC,GO:0032809,neuronal cell body membrane,1/18,30/19960,0.03333333333333333,36.96296296296296,5.922208992808551,0.026722468798838883,0.07765479092710001,0.039874090334839546,SLC6A3,1,Rpost_18,Nöronal hücre gövdesi membranı
CC,GO:0045121,membrane raft,2/18,293/19960,0.006825938566552901,7.569207432688661,3.403290430401357,0.028143781566687804,0.07765479092710001,0.039874090334839546,SLC1A1/SLC6A3,2,Rpost_18,Membran raftı
CC,GO:0098857,membrane microdomain,2/18,295/19960,0.006779661016949152,7.51789077212806,3.388382238100559,0.028499764092363288,0.07765479092710001,0.039874090334839546,SLC1A1/SLC6A3,2,Rpost_18,Membran mikrodomaini
CC,GO:0044298,cell body membrane,1/18,33/19960,0.030303030303030304,33.602693602693606,5.63132740268253,0.029357299009025617,0.07765479092710001,0.039874090334839546,SLC6A3,1,Rpost_18,Hücre gövdesi membranı
CC,GO:0045211,postsynaptic membrane,2/18,321/19960,0.006230529595015576,6.908965039806161,3.206457864538431,0.033292701031158736,0.0851643030871858,0.04373006577005689,GRIN1/SLC6A3,2,Rpost_18,Postsinaptik membran
CC,GO:0008328,ionotropic glutamate receptor complex,1/18,40/19960,0.025,27.72222222222222,5.0825210448240945,0.03547906210699825,0.0851643030871858,0.04373006577005689,GRIN1,1,Rpost_18,İyonotropik glutamat reseptör kompleksi
CC,GO:0097386,glial cell projection,1/18,40/19960,0.025,27.72222222222222,5.0825210448240945,0.03547906210699825,0.0851643030871858,0.04373006577005689,SLC1A1,1,Rpost_18,
CC,GO:0043198,dendritic shaft,1/18,41/19960,0.024390243902439025,27.04607046070461,5.01558574428942,0.03635061717135979,0.0851643030871858,0.04373006577005689,SLC1A1,1,Rpost_18,Dendritik gövde
CC,GO:0098878,neurotransmitter receptor complex,1/18,45/19960,0.022222222222222223,24.641975308641978,4.770030397294187,0.039829405058390055,0.08835449431953418,0.0453681613964232,GRIN1,1,Rpost_18,
CC,GO:0043195,terminal bouton,1/18,46/19960,0.021739130434782608,24.106280193236714,4.713581119043675,0.04069724692175658,0.08835449431953418,0.0453681613964232,GRIN1,1,Rpost_18,Terminal buton
CC,GO:0034702,monoatomic ion channel complex,2/18,365/19960,0.005479452054794521,6.076103500761035,2.9405295812269068,0.042071132875538306,0.08835449431953418,0.0453681613964232,GRIN1/TPCN1,2,Rpost_18,
CC,GO:0090533,cation-transporting ATPase complex,1/18,48/19960,0.020833333333333332,23.10185185185185,4.6058853797576935,0.04243070869002763,0.08835449431953418,0.0453681613964232,ATP6V0A4,1,Rpost_18,Katyon taşıyan ATPaz kompleksi
CC,GO:0016469,proton-transporting two-sector ATPase complex,1/18,50/19960,0.02,22.177777777777777,4.504546191263562,0.04416121181324384,0.08835449431953418,0.0453681613964232,ATP6V0A4,1,Rpost_18,Proton taşıyan iki sektörlü ATPaz kompleksi
CC,GO:0032279,asymmetric synapse,2/18,375/19960,0.005333333333333333,5.914074074074074,2.8861362544994082,0.04417724715976709,0.08835449431953418,0.0453681613964232,GRIN1/SLC1A1,2,Rpost_18,
CC,GO:0098533,ATPase dependent transmembrane transport complex,1/18,54/19960,0.018518518518518517,20.53497942386831,4.3185616505273146,0.04761336113015269,0.09295941934934572,0.047732692862308454,ATP6V0A4,1,Rpost_18,
CC,GO:0016324,apical plasma membrane,2/18,408/19960,0.004901960784313725,5.435729847494553,2.7196991220200184,0.05140263973001759,0.09615778082091359,0.049374983733460116,ATP6V0A4/SLC1A1,2,Rpost_18,Apikal plazma membranı
CC,GO:0098984,neuron to neuron synapse,2/18,412/19960,0.0048543689320388345,5.382955771305285,2.7007589047800287,0.05230624483940427,0.09615778082091359,0.049374983733460116,GRIN1/SLC1A1,2,Rpost_18,
CC,GO:0031526,brush border membrane,1/18,60/19960,0.016666666666666666,18.48148148148148,4.074258751990307,0.05276951386513551,0.09615778082091359,0.049374983733460116,ATP6V0A4,1,Rpost_18,Fırçamsı kenar membranı
MF,GO:0015101,organic cation transmembrane transporter activity,4/18,82/18737,0.04878048780487805,50.77777777777778,14.008065807859818,9.94951704067533e-7,1.4725285220199488e-4,5.23658791614491e-5,SLC1A1/SLC25A15/SLC44A1/SLC6A3,4,Rpost_18,Organik katyon transmembran taşıyıcı aktivitesi
MF,GO:0022804,active transmembrane transporter activity,6/18,458/18737,0.013100436681222707,13.63682678311499,8.490395565136872,2.985712406101594e-6,2.2094271805151794e-4,7.857137910793667e-5,ATP6V0A4/CYB5A/SLC1A1/SLC25A15/SLC44A1/SLC6A3,6,Rpost_18,Aktif transmembran taşıyıcı aktivitesi
MF,GO:0015081,sodium ion transmembrane transporter activity,4/18,162/18737,0.024691358024691357,25.70233196159122,9.791842493003731,1.499058182710853e-5,7.395353701373542e-4,2.62992663633483e-4,GRIN1/SLC1A1/SLC6A3/TPCN1,4,Rpost_18,Sodyum iyonu transmembran taşıyıcı aktivitesi
MF,GO:0046873,metal ion transmembrane transporter activity,5/18,444/18737,0.01126126126126126,11.722347347347347,7.090424861722872,4.849726455458015e-5,0.0017943987885194654,6.381219020339492e-4,GRIN1/SLC1A1/SLC6A3/TPCN1/TRPM7,5,Rpost_18,Metal iyonu transmembran taşıyıcı aktivitesi
MF,GO:0015171,amino acid transmembrane transporter activity,3/18,99/18737,0.030303030303030304,31.54377104377104,9.448741517331147,1.1021622293919803e-4,0.00261068357976693,9.284081009128485e-4,GRIN1/SLC1A1/SLC25A15,3,Rpost_18,Amino asit transmembran taşıyıcı aktivitesi
MF,GO:0015280,ligand-gated sodium channel activity,2/18,18/18737,0.1111111111111111,115.66049382716048,15.091837056556471,1.3215375714661584e-4,0.00261068357976693,9.284081009128485e-4,GRIN1/TPCN1,2,Rpost_18,
MF,GO:0022853,active monoatomic ion transmembrane transporter activity,4/18,287/18737,0.013937282229965157,14.50793650793651,7.150973078160551,1.3924175182656042e-4,0.00261068357976693,9.284081009128485e-4,ATP6V0A4/CYB5A/SLC1A1/SLC6A3,4,Rpost_18,
MF,GO:0015291,secondary active transmembrane transporter activity,4/18,288/18737,0.013888888888888888,14.45756172839506,7.136899452316875,1.41118031338753e-4,0.00261068357976693,9.284081009128485e-4,SLC1A1/SLC25A15/SLC44A1/SLC6A3,4,Rpost_18,Sekonder aktif transmembran taşıyıcı aktivitesi
MF,GO:0005262,calcium channel activity,3/18,131/18737,0.022900763358778626,23.838422391857506,8.13408318813931,2.523869341340995e-4,0.004150362916871858,0.0014759469832403478,GRIN1/TPCN1/TRPM7,3,Rpost_18,Kalsiyum kanalı aktivitesi
MF,GO:0080025,"phosphatidylinositol-3,5-bisphosphate binding",2/18,28/18737,0.07142857142857142,74.35317460317461,12.044978013119636,3.246445670732034e-4,0.004602478948622927,0.001636727933365194,PLA2G4E/TPCN1,2,Rpost_18,
MF,GO:0015085,calcium ion transmembrane transporter activity,3/18,148/18737,0.02027027027027027,21.100225225225227,7.612672330649927,3.6120880061196937e-4,0.004602478948622927,0.001636727933365194,GRIN1/TPCN1/TRPM7,3,Rpost_18,Kalsiyum iyonu transmembran taşıyıcı aktivitesi
