ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet
R-HSA-112316,Neuronal System,3/23,410/11146,0.007317073170731708,3.5459172852598093,2.388404894132751,0.050728672474963474,0.11431255070490266,0.07093077938475954,GRIN1/SLC1A1/SLC6A3,3,all_25
R-HSA-1482788,Acyl chain remodelling of PC,1/23,28/11146,0.03571428571428571,17.307453416149066,3.928663330268654,0.056263716592214186,0.11431255070490266,0.07093077938475954,PLA2G4E,1,all_25
R-HSA-1483191,Synthesis of PC,1/23,28/11146,0.03571428571428571,17.307453416149066,3.928663330268654,0.056263716592214186,0.11431255070490266,0.07093077938475954,SLC44A1,1,all_25
R-HSA-3295583,TRP channels,1/23,28/11146,0.03571428571428571,17.307453416149066,3.928663330268654,0.056263716592214186,0.11431255070490266,0.07093077938475954,TRPM7,1,all_25
R-HSA-69205,G1/S-Specific Transcription,1/23,28/11146,0.03571428571428571,17.307453416149066,3.928663330268654,0.056263716592214186,0.11431255070490266,0.07093077938475954,RRM2,1,all_25
R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,1/23,29/11146,0.034482758620689655,16.710644677661172,3.8520524186747056,0.0582160402581956,0.11431255070490266,0.07093077938475954,GRIN1,1,all_25
R-HSA-1482839,Acyl chain remodelling of PE,1/23,30/11146,0.03333333333333333,16.153623188405795,3.779164774884456,0.060164500371001406,0.11431255070490266,0.07093077938475954,PLA2G4E,1,all_25
R-HSA-499943,Interconversion of nucleotide di- and triphosphates,1/23,30/11146,0.03333333333333333,16.153623188405795,3.779164774884456,0.060164500371001406,0.11431255070490266,0.07093077938475954,RRM2,1,all_25
R-HSA-77387,Insulin receptor recycling,1/23,30/11146,0.03333333333333333,16.153623188405795,3.779164774884456,0.060164500371001406,0.11431255070490266,0.07093077938475954,ATP6V0A4,1,all_25
R-HSA-917977,Transferrin endocytosis and recycling,1/23,31/11146,0.03225806451612903,15.632538569424966,3.709699886333097,0.06210910422953575,0.11569342944717444,0.07178761273176475,ATP6V0A4,1,all_25
R-HSA-8953750,Transcriptional Regulation by E2F6,1/23,35/11146,0.02857142857142857,13.845962732919254,3.4611234669551623,0.06984910263983901,0.1207092163298159,0.07489990154537053,RRM2,1,all_25
